Activo_1,Activo_2,Correlacion,Sector_Activo_1,Sector_Activo_2
ArcelorMittal,Acciona Energía,0.15823347771286272,"Mineral, Metales Y Transformación",Energías Renovables
BBVA,Acciona Energía,0.16469257396813655,Bancos Y Cajas De Ahorro,Energías Renovables
Banco Sabadell,Acciona Energía,0.1025880896284533,Bancos Y Cajas De Ahorro,Energías Renovables
Bankinter,Acciona Energía,0.09975460865541863,Bancos Y Cajas De Ahorro,Energías Renovables
CaixaBank,Acciona Energía,0.11559422538872156,Bancos Y Cajas De Ahorro,Energías Renovables
Cellnex Telecom,Acciona Energía,0.35520401445257904,Telecomunicaciones Y Otros,Energías Renovables
Enagás,Acciona Energía,0.29938967932096394,Electricidad Y Gas,Energías Renovables
Endesa,Acciona Energía,0.37519520981283977,Electricidad Y Gas,Energías Renovables
Ferrovial,Acciona Energía,0.26056863478088405,Construcción,Energías Renovables
Fluidra,Acciona Energía,0.24362342040537122,Ingeniería Y Otros,Energías Renovables
Grifols,Acciona Energía,0.18400302747124736,Productos Farmacéuticos Y Biotecnología,Energías Renovables
Iberdrola,Acciona Energía,0.45356969811416953,Electricidad Y Gas,Energías Renovables
Inditex,Acciona Energía,0.1533779661773373,"Textil, Vestido Y Calzado",Energías Renovables
Indra,Acciona Energía,0.1104384293878608,Electrónica Y Software,Energías Renovables
Inmobiliaria Colonial,Acciona Energía,0.34970377579506623,Socimi,Energías Renovables
International Airlines Group,Acciona Energía,0.18421695675937438,Transporte Y Distribución,Energías Renovables
Laboratorios Rovi,Acciona Energía,0.1348864128347645,Productos Farmacéuticos Y Biotecnología,Energías Renovables
Logista,Acciona Energía,0.1602340912870363,Transporte Y Distribución,Energías Renovables
MAPFRE,Acciona Energía,0.19507239781053923,Seguros,Energías Renovables
Meliá Hotels International,Acciona Energía,0.18448682152147028,"Ocio, Turismo Y Hostelería",Energías Renovables
Merlin Properties,Acciona Energía,0.34743674048574075,Socimi,Energías Renovables
Naturgy,Acciona Energía,0.32202325723514535,Electricidad Y Gas,Energías Renovables
Redeia,Acciona Energía,0.33416528556421243,Electricidad Y Gas,Energías Renovables
Repsol,Acciona Energía,0.10150339208886189,Petróleo,Energías Renovables
Sacyr,Acciona Energía,0.30920255035206257,Construcción,Energías Renovables
Santander,Acciona Energía,0.1906343300542398,Bancos Y Cajas De Ahorro,Energías Renovables
Solaria,Acciona Energía,0.5652697135953101,Energías Renovables,Energías Renovables
Telefónica,Acciona Energía,0.11073397245986591,Telecomunicaciones Y Otros,Energías Renovables
Unicaja,Acciona Energía,0.1006347523878374,Bancos Y Cajas De Ahorro,Energías Renovables
ACS,Acerinox,0.4151832582891899,Construcción,"Mineral, Metales Y Transformación"
Acciona,Acerinox,0.26619703186594934,Construcción,"Mineral, Metales Y Transformación"
Acciona Energía,Acerinox,0.18122567794058136,Energías Renovables,"Mineral, Metales Y Transformación"
Aena,Acerinox,0.306866818479138,Transporte Y Distribución,"Mineral, Metales Y Transformación"
Amadeus IT Group,Acerinox,0.36916088645063566,Electrónica Y Software,"Mineral, Metales Y Transformación"
ArcelorMittal,Acerinox,0.7454776720552625,"Mineral, Metales Y Transformación","Mineral, Metales Y Transformación"
BBVA,Acerinox,0.46926894820666387,Bancos Y Cajas De Ahorro,"Mineral, Metales Y Transformación"
Banco Sabadell,Acerinox,0.3823856701171328,Bancos Y Cajas De Ahorro,"Mineral, Metales Y Transformación"
Bankinter,Acerinox,0.3696909116191097,Bancos Y Cajas De Ahorro,"Mineral, Metales Y Transformación"
CaixaBank,Acerinox,0.38570052633564844,Bancos Y Cajas De Ahorro,"Mineral, Metales Y Transformación"
Cellnex Telecom,Acerinox,0.14307541320104714,Telecomunicaciones Y Otros,"Mineral, Metales Y Transformación"
Enagás,Acerinox,0.15311805866193764,Electricidad Y Gas,"Mineral, Metales Y Transformación"
Endesa,Acerinox,0.20506910644303092,Electricidad Y Gas,"Mineral, Metales Y Transformación"
Ferrovial,Acerinox,0.36947163348236034,Construcción,"Mineral, Metales Y Transformación"
Fluidra,Acerinox,0.3675926918684747,Ingeniería Y Otros,"Mineral, Metales Y Transformación"
Grifols,Acerinox,0.17724701471888968,Productos Farmacéuticos Y Biotecnología,"Mineral, Metales Y Transformación"
Iberdrola,Acerinox,0.19084880435972099,Electricidad Y Gas,"Mineral, Metales Y Transformación"
Inditex,Acerinox,0.331995715033195,"Textil, Vestido Y Calzado","Mineral, Metales Y Transformación"
Indra,Acerinox,0.24116285123040324,Electrónica Y Software,"Mineral, Metales Y Transformación"
Inmobiliaria Colonial,Acerinox,0.3359070601854244,Socimi,"Mineral, Metales Y Transformación"
International Airlines Group,Acerinox,0.43015921944670554,Transporte Y Distribución,"Mineral, Metales Y Transformación"
Laboratorios Rovi,Acerinox,0.12336952435693653,Productos Farmacéuticos Y Biotecnología,"Mineral, Metales Y Transformación"
Logista,Acerinox,0.2801677540292207,Transporte Y Distribución,"Mineral, Metales Y Transformación"
MAPFRE,Acerinox,0.3886652591871372,Seguros,"Mineral, Metales Y Transformación"
Meliá Hotels International,Acerinox,0.37942584698461884,"Ocio, Turismo Y Hostelería","Mineral, Metales Y Transformación"
Merlin Properties,Acerinox,0.3512278303814676,Socimi,"Mineral, Metales Y Transformación"
Naturgy,Acerinox,0.15680867873376428,Electricidad Y Gas,"Mineral, Metales Y Transformación"
Redeia,Acerinox,0.08373810119114954,Electricidad Y Gas,"Mineral, Metales Y Transformación"
Repsol,Acerinox,0.31161454103838515,Petróleo,"Mineral, Metales Y Transformación"
Sacyr,Acerinox,0.46812565603636463,Construcción,"Mineral, Metales Y Transformación"
Santander,Acerinox,0.492322661545495,Bancos Y Cajas De Ahorro,"Mineral, Metales Y Transformación"
Solaria,Acerinox,0.1793179268140301,Energías Renovables,"Mineral, Metales Y Transformación"
Telefónica,Acerinox,0.1854552632942655,Telecomunicaciones Y Otros,"Mineral, Metales Y Transformación"
Unicaja,Acerinox,0.3961921151886404,Bancos Y Cajas De Ahorro,"Mineral, Metales Y Transformación"
ACS,Aena,0.4068080813217375,Construcción,Transporte Y Distribución
Acciona,Aena,0.24858247208038384,Construcción,Transporte Y Distribución
Acciona Energía,Aena,0.19436041498370155,Energías Renovables,Transporte Y Distribución
Acerinox,Aena,0.306866818479138,"Mineral, Metales Y Transformación",Transporte Y Distribución
Amadeus IT Group,Aena,0.5010390721199109,Electrónica Y Software,Transporte Y Distribución
ArcelorMittal,Aena,0.2691348235025856,"Mineral, Metales Y Transformación",Transporte Y Distribución
BBVA,Aena,0.36591711203314314,Bancos Y Cajas De Ahorro,Transporte Y Distribución
Banco Sabadell,Aena,0.30720349444008743,Bancos Y Cajas De Ahorro,Transporte Y Distribución
Bankinter,Aena,0.2901954689170602,Bancos Y Cajas De Ahorro,Transporte Y Distribución
CaixaBank,Aena,0.29550787189589045,Bancos Y Cajas De Ahorro,Transporte Y Distribución
Cellnex Telecom,Aena,0.2707566148197395,Telecomunicaciones Y Otros,Transporte Y Distribución
Enagás,Aena,0.26522922217330125,Electricidad Y Gas,Transporte Y Distribución
Endesa,Aena,0.2952335836992565,Electricidad Y Gas,Transporte Y Distribución
Ferrovial,Aena,0.5399648726294103,Construcción,Transporte Y Distribución
Fluidra,Aena,0.29705800532756754,Ingeniería Y Otros,Transporte Y Distribución
Grifols,Aena,0.21192462368416995,Productos Farmacéuticos Y Biotecnología,Transporte Y Distribución
Iberdrola,Aena,0.30693410356797596,Electricidad Y Gas,Transporte Y Distribución
Inditex,Aena,0.3956160030116543,"Textil, Vestido Y Calzado",Transporte Y Distribución
Indra,Aena,0.24266667181325527,Electrónica Y Software,Transporte Y Distribución
Inmobiliaria Colonial,Aena,0.39953986816918124,Socimi,Transporte Y Distribución
International Airlines Group,Aena,0.5402876075366779,Transporte Y Distribución,Transporte Y Distribución
