Activo_1,Activo_2,Correlacion,Sector_Activo_1,Sector_Activo_2
ArcelorMittal,Acciona Energía,0.15875542198557469,"Mineral, Metales Y Transformación",Energías Renovables
BBVA,Acciona Energía,0.16520995840506061,Bancos Y Cajas De Ahorro,Energías Renovables
Banco Sabadell,Acciona Energía,0.10311281730961182,Bancos Y Cajas De Ahorro,Energías Renovables
Bankinter,Acciona Energía,0.10034770216142141,Bancos Y Cajas De Ahorro,Energías Renovables
CaixaBank,Acciona Energía,0.11621116167401684,Bancos Y Cajas De Ahorro,Energías Renovables
Cellnex Telecom,Acciona Energía,0.3552421337965338,Telecomunicaciones Y Otros,Energías Renovables
Enagás,Acciona Energía,0.29926797823260143,Electricidad Y Gas,Energías Renovables
Endesa,Acciona Energía,0.37510765311533234,Electricidad Y Gas,Energías Renovables
Ferrovial,Acciona Energía,0.26100980618652425,Construcción,Energías Renovables
Fluidra,Acciona Energía,0.24363138908134957,Ingeniería Y Otros,Energías Renovables
Grifols,Acciona Energía,0.18419478621439667,Productos Farmacéuticos Y Biotecnología,Energías Renovables
Iberdrola,Acciona Energía,0.4535781039394985,Electricidad Y Gas,Energías Renovables
Inditex,Acciona Energía,0.1534461058714318,"Textil, Vestido Y Calzado",Energías Renovables
Indra,Acciona Energía,0.11069305580373533,Electrónica Y Software,Energías Renovables
Inmobiliaria Colonial,Acciona Energía,0.34968934465615836,Socimi,Energías Renovables
International Airlines Group,Acciona Energía,0.1846514219127486,Transporte Y Distribución,Energías Renovables
Laboratorios Rovi,Acciona Energía,0.1348789198757573,Productos Farmacéuticos Y Biotecnología,Energías Renovables
Logista,Acciona Energía,0.16008254571893601,Transporte Y Distribución,Energías Renovables
MAPFRE,Acciona Energía,0.1951789667766037,Seguros,Energías Renovables
Meliá Hotels International,Acciona Energía,0.1841163274756893,"Ocio, Turismo Y Hostelería",Energías Renovables
Merlin Properties,Acciona Energía,0.34745445066083985,Socimi,Energías Renovables
Naturgy,Acciona Energía,0.32194317771597464,Electricidad Y Gas,Energías Renovables
Redeia,Acciona Energía,0.33411412695002407,Electricidad Y Gas,Energías Renovables
Repsol,Acciona Energía,0.10118578737490096,Petróleo,Energías Renovables
Sacyr,Acciona Energía,0.30929740545117296,Construcción,Energías Renovables
Santander,Acciona Energía,0.19092804620031226,Bancos Y Cajas De Ahorro,Energías Renovables
Solaria,Acciona Energía,0.5653324487249607,Energías Renovables,Energías Renovables
Telefónica,Acciona Energía,0.11058329350415713,Telecomunicaciones Y Otros,Energías Renovables
Unicaja,Acciona Energía,0.10135704501118721,Bancos Y Cajas De Ahorro,Energías Renovables
ACS,Acerinox,0.41444207519375226,Construcción,"Mineral, Metales Y Transformación"
Acciona,Acerinox,0.2658971578012327,Construcción,"Mineral, Metales Y Transformación"
Acciona Energía,Acerinox,0.18161343585331202,Energías Renovables,"Mineral, Metales Y Transformación"
Aena,Acerinox,0.30646415951666367,Transporte Y Distribución,"Mineral, Metales Y Transformación"
Amadeus IT Group,Acerinox,0.3685679291540675,Electrónica Y Software,"Mineral, Metales Y Transformación"
ArcelorMittal,Acerinox,0.744875772580699,"Mineral, Metales Y Transformación","Mineral, Metales Y Transformación"
BBVA,Acerinox,0.4683298547422053,Bancos Y Cajas De Ahorro,"Mineral, Metales Y Transformación"
Banco Sabadell,Acerinox,0.3814508417054854,Bancos Y Cajas De Ahorro,"Mineral, Metales Y Transformación"
Bankinter,Acerinox,0.36868226358877026,Bancos Y Cajas De Ahorro,"Mineral, Metales Y Transformación"
CaixaBank,Acerinox,0.3847572939552201,Bancos Y Cajas De Ahorro,"Mineral, Metales Y Transformación"
Cellnex Telecom,Acerinox,0.14260595574327628,Telecomunicaciones Y Otros,"Mineral, Metales Y Transformación"
Enagás,Acerinox,0.15425369198525976,Electricidad Y Gas,"Mineral, Metales Y Transformación"
Endesa,Acerinox,0.20635715897743928,Electricidad Y Gas,"Mineral, Metales Y Transformación"
Ferrovial,Acerinox,0.3687973630402968,Construcción,"Mineral, Metales Y Transformación"
Fluidra,Acerinox,0.36770967809325533,Ingeniería Y Otros,"Mineral, Metales Y Transformación"
Grifols,Acerinox,0.17683982035976054,Productos Farmacéuticos Y Biotecnología,"Mineral, Metales Y Transformación"
Iberdrola,Acerinox,0.19231101918626395,Electricidad Y Gas,"Mineral, Metales Y Transformación"
Inditex,Acerinox,0.3319329474147097,"Textil, Vestido Y Calzado","Mineral, Metales Y Transformación"
Indra,Acerinox,0.2403396825030224,Electrónica Y Software,"Mineral, Metales Y Transformación"
Inmobiliaria Colonial,Acerinox,0.3361583137976693,Socimi,"Mineral, Metales Y Transformación"
International Airlines Group,Acerinox,0.42947136032009575,Transporte Y Distribución,"Mineral, Metales Y Transformación"
Laboratorios Rovi,Acerinox,0.12348632257311372,Productos Farmacéuticos Y Biotecnología,"Mineral, Metales Y Transformación"
Logista,Acerinox,0.2808940221096188,Transporte Y Distribución,"Mineral, Metales Y Transformación"
MAPFRE,Acerinox,0.38848169170688013,Seguros,"Mineral, Metales Y Transformación"
Meliá Hotels International,Acerinox,0.38078375282132115,"Ocio, Turismo Y Hostelería","Mineral, Metales Y Transformación"
Merlin Properties,Acerinox,0.35121347000250647,Socimi,"Mineral, Metales Y Transformación"
Naturgy,Acerinox,0.1572935155817701,Electricidad Y Gas,"Mineral, Metales Y Transformación"
Redeia,Acerinox,0.0840892977667316,Electricidad Y Gas,"Mineral, Metales Y Transformación"
Repsol,Acerinox,0.3130452869080318,Petróleo,"Mineral, Metales Y Transformación"
Sacyr,Acerinox,0.4681234760631822,Construcción,"Mineral, Metales Y Transformación"
Santander,Acerinox,0.49181538794970053,Bancos Y Cajas De Ahorro,"Mineral, Metales Y Transformación"
Solaria,Acerinox,0.17929894953426667,Energías Renovables,"Mineral, Metales Y Transformación"
Telefónica,Acerinox,0.18628674845481316,Telecomunicaciones Y Otros,"Mineral, Metales Y Transformación"
Unicaja,Acerinox,0.39515765343174764,Bancos Y Cajas De Ahorro,"Mineral, Metales Y Transformación"
ACS,Aena,0.4066094968440558,Construcción,Transporte Y Distribución
Acciona,Aena,0.24816602270988947,Construcción,Transporte Y Distribución
Acciona Energía,Aena,0.19449947239896873,Energías Renovables,Transporte Y Distribución
Acerinox,Aena,0.30646415951666367,"Mineral, Metales Y Transformación",Transporte Y Distribución
Amadeus IT Group,Aena,0.5008549494792379,Electrónica Y Software,Transporte Y Distribución
ArcelorMittal,Aena,0.2680915845454594,"Mineral, Metales Y Transformación",Transporte Y Distribución
BBVA,Aena,0.36479190407289896,Bancos Y Cajas De Ahorro,Transporte Y Distribución
Banco Sabadell,Aena,0.3062791620217335,Bancos Y Cajas De Ahorro,Transporte Y Distribución
Bankinter,Aena,0.2893061107781934,Bancos Y Cajas De Ahorro,Transporte Y Distribución
CaixaBank,Aena,0.29476536314189233,Bancos Y Cajas De Ahorro,Transporte Y Distribución
Cellnex Telecom,Aena,0.26979183785195365,Telecomunicaciones Y Otros,Transporte Y Distribución
Enagás,Aena,0.2658861673959043,Electricidad Y Gas,Transporte Y Distribución
Endesa,Aena,0.2960356317493748,Electricidad Y Gas,Transporte Y Distribución
Ferrovial,Aena,0.5397587260727709,Construcción,Transporte Y Distribución
Fluidra,Aena,0.29712136052936616,Ingeniería Y Otros,Transporte Y Distribución
Grifols,Aena,0.2115567196087768,Productos Farmacéuticos Y Biotecnología,Transporte Y Distribución
